Año,Mes, Siniestro ocurrido 
2019,1," 185,630.33 "
2018,10," 85,662.29 "
2019,3," 242,197.53 "
2019,1," 182,504.54 "
2017,3," 382,260.54 "
2019,2," 452,379.83 "
2019,4," 66,906.28 "
2018,7," 75,392.89 "
2020,1," 187,693.02 "
2019,10," 177,202.35 "
2019,8," 64,291.02 "
2018,12," 1,709,902.90 "
2018,8," 239,481.00 "
2020,8," 57,311.38 "
2020,4," 363,159.31 "
2018,10," 100,984.69 "
2017,4," 689,215.77 "
2017,3," 94,156.49 "
2019,9," 211,541.06 "
2019,7," 637,192.65 "
2020,6," 387,213.58 "
2017,8," 789,527.16 "
2017,4," 110,079.60 "
2018,12," 282,716.44 "
2019,9," 398,554.86 "
2019,6," 40,383.00 "
2020,6," 2,083,006.80 "
2017,1," 763,769.44 "
2016,10," 436,614.82 "
2020,1," 684,011.25 "
2017,12," 152,373.59 "
2017,8," 141,455.80 "
2018,12," 419,266.43 "
2017,9," 971,358.03 "
2017,11," 221,988.38 "
2019,10," 850,231.59 "
2018,12," 89,822.10 "
2018,10," 479,417.83 "
2017,12," 1,724,525.87 "
2018,8," 514,293.73 "
2017,6," 220,296.84 "
2018,10," 423,303.88 "
2018,3," 255,921.70 "
2017,7," 485,097.26 "
2020,3," 78,314.96 "
2016,11," 90,545.01 "
2018,5," 185,936.77 "
2019,8," 615,338.38 "
2019,6," 121,696.19 "
2018,7," 379,515.54 "
2018,4," 319,039.98 "
2017,10," 1,161,162.39 "
2017,10," 1,078,942.34 "
2018,9," 440,741.20 "
2020,2," 598,076.66 "
2019,9," 387,180.07 "
2016,7," 284,510.11 "
2017,8," 1,317,021.97 "
2018,7," 608,873.28 "
2018,10," 992,908.35 "
2017,9," 232,755.04 "
2018,6," 171,284.72 "
2019,10," 257,653.07 "
2019,2," 687,492.99 "
2016,5," 222,755.00 "
2017,7," 3,015,107.44 "
2018,7," 605,901.11 "
2019,11," 345,922.64 "
2019,6," 190,873.47 "
2016,2," 151,778.79 "
2019,2," 165,278.95 "
2019,12," 272,665.54 "
2019,12," 385,258.14 "
2019,8," 116,998.17 "
2019,1," 13,383.81 "
2019,3," 11,683.34 "
2020,6," 123,079.71 "
2017,11," 562,185.78 "
2016,7," 812,656.69 "
2019,1," 172,204.81 "
2019,8," 296,040.52 "
2017,5," 181,774.44 "
2019,8," 59,618.65 "
2018,12," 757,397.80 "
2017,8," 80,561.48 "
2017,3," 545,215.77 "
2019,5," 185,374.99 "
2018,2," 921,367.39 "
2017,8," 136,759.28 "
2018,10," 401,009.20 "
2017,9," 233,568.00 "
2017,5," 539,411.05 "
2019,1," 218,352.24 "
2020,1," 113,593.49 "
2019,2," 310,686.47 "
2019,8," 148,544.65 "
2018,6," 132,140.98 "
2020,2," 627,560.17 "
2019,11," 237,079.92 "
2018,6," 794,441.93 "
2017,8," 907,250.33 "
2018,7," 445,700.28 "
2019,4," 109,488.66 "
2017,1," 379,159.50 "
2020,7," 169,819.32 "
2018,4," 390,911.57 "
2017,4," 743,317.38 "
2019,1," 158,706.48 "
2019,1," 1,086,036.74 "
2018,4," 212,453.99 "
2019,12," 343,203.70 "
2019,3," 239,121.51 "
2018,12," 66,149.52 "
2017,4," 400,679.63 "
2017,12," 97,232.99 "
2016,4," 94,552.48 "
2018,10," 758,249.81 "
2019,7," 243,135.84 "
2019,7," 271,513.53 "
2020,7," 110,203.60 "
2019,7," 1,529,745.17 "
2017,7," 3,064,475.78 "
2018,12," 278,731.12 "
2019,12," 194,155.99 "
2019,6," 244,769.97 "
2016,7," 499,618.83 "
2018,6," 975,542.33 "
2019,7," 970,749.93 "
2019,2," 92,017.16 "
2017,7," 498,717.63 "
2019,1," 30,737.01 "
2018,12," 281,972.93 "
2020,7," 509,126.06 "
2019,4," 512,288.02 "
2019,3," 615,666.28 "
2019,9," 99,755.69 "
2018,4," 93,452.39 "
2019,11," 321,223.93 "
2020,8," 292,477.43 "
2017,4," 103,730.54 "
2019,3," 644,983.60 "
2020,6," 1,917,059.86 "
2019,4," 218,276.31 "
2019,11," 647,159.57 "
2017,12," 1,604,386.79 "
2016,12," 988,477.75 "
2017,7," 429,484.66 "
2018,12," 5,734,128.22 "
2019,9," 885,020.62 "
2016,5," 256,721.09 "
2019,3," 549,068.23 "
2016,7," 258,181.82 "
2019,8," 172,200.54 "
2017,12," 124,908.43 "
2018,11," 1,683,668.30 "
2018,12," 319,738.11 "
2018,6," 241,964.79 "
2020,8," 118,816.26 "
2017,3," 980,713.34 "
2018,7," 141,335.42 "
2018,10," 1,635,396.53 "
2017,1," 730,746.48 "
2018,10," 555,610.34 "
2017,5," 1,210,301.53 "
2018,12," 257,317.02 "
2019,8," 676,582.43 "
2020,4," 466,678.78 "
2016,9," 719,355.90 "
2018,11," 171,886.83 "
2020,5," 384,430.65 "
2018,9," 103,567.01 "
2020,5," 1,925,435.68 "
2018,11," 2,178,569.44 "
2020,4," 95,539.55 "
2020,2," 2,365,155.36 "
2018,8," 1,496,477.36 "
2019,2," 36,706.61 "
2018,2," 85,459.55 "
2016,12," 395,734.56 "
2018,7," 81,003.70 "
2019,7," 135,318.42 "
2020,4," 286,721.57 "
2016,4," 88,413.87 "
2018,10," 193,141.10 "
2019,9," 242,045.97 "
2016,12," 2,350,525.76 "
2018,12," 258,401.95 "
2020,9," 136,750.22 "
2017,8," 843,142.87 "
2017,9," 974,368.65 "
2016,12," 1,048,394.16 "
2018,10," 285,464.09 "
2019,2," 50,039.23 "
2019,10," 82,066.51 "
2018,11," 1,985,412.07 "
2019,3," 592,226.09 "
2018,8," 95,990.73 "
2017,6," 183,941.90 "
2017,5," 933,201.46 "
2016,11," 454,143.05 "
2017,5," 687,540.14 "
2019,6," 239,201.81 "
2018,9," 218,129.57 "
2019,9," 226,495.60 "
2019,9," 294,308.04 "
2019,5," 118,651.76 "
2020,2," 110,190.07 "
2018,10," 12,741.42 "
2018,8," 349,201.20 "
2018,12," 144,992.82 "
2017,5," 9,313.53 "
2018,12," 2,939,981.50 "
2017,12," 1,394,971.08 "
2019,7," 1,400,411.38 "
2017,8," 77,387.80 "
2018,9," 683,526.96 "
2017,11," 2,014,828.06 "
2017,6," 96,378.50 "
2019,4," 609,902.48 "
2018,9," 505,757.25 "
2018,5," 160,657.66 "
2016,6," 1,066,122.17 "
2018,9," 102,531.79 "
2017,6," 1,010,931.75 "
2017,9," 206,829.39 "
2018,11," 2,079,509.28 "
2018,12," 355,828.04 "
2018,4," 346,280.08 "
2019,12," 126,438.75 "
2018,2," 133,897.48 "
2018,1," 207,960.29 "
2016,11," 493,732.26 "
2017,4," 104,621.47 "
2017,8," 968,360.60 "
2018,7," 368,889.94 "
2019,7," 103,967.14 "
2018,1," 496,142.85 "
2018,9," 1,196,048.33 "
2019,4," 1,501,568.72 "
2016,7," 296,645.57 "
2019,11," 3,427,903.40 "
2019,9," 82,244.13 "
2017,2," 2,603,241.68 "
2020,2," 2,386,617.98 "
2017,10," 743,826.97 "
2016,9," 1,497,199.95 "
2019,7," 912,769.42 "
2020,1," 92,036.38 "
2016,12," 349,941.55 "
2018,7," 666,770.89 "
2019,9," 1,480,370.19 "
2019,11," 3,339,997.34 "
2018,8," 163,041.98 "
2017,9," 127,985.32 "
2016,8," 1,903,138.39 "
2016,12," 510,593.31 "
2016,8," 568,612.32 "
2020,2," 594,236.12 "
2019,4," 217,165.34 "
2018,12," 784,034.63 "
2018,12," 485,787.71 "
2019,11," 314,119.60 "
2016,10," 153,683.03 "
2019,1," 128,574.61 "
2019,10," 40,040.20 "
2020,9," 1,370,001.07 "
2017,5," 411,636.42 "
2018,10," 240,224.93 "
2019,7," 121,398.16 "
2019,2," 681,226.12 "
2018,10," 894,781.13 "
2017,2," 434,088.70 "
2018,11," 256,259.82 "
2019,11," 268,399.28 "
2019,11," 346,409.47 "
2018,6," 746,328.65 "
2018,7," 486,607.86 "
2020,3," 885,956.37 "
2019,4," 126,803.98 "
2017,5," 306,959.68 "
2017,6," 51,455.25 "
2018,10," 992,674.80 "
2019,1," 127,027.80 "
2017,4," 696,632.27 "
2019,4," 548,756.35 "
2019,1," 13,723.17 "
2016,7," 919,595.61 "
2018,6," 909,100.87 "
2018,10," 535,334.13 "
2018,5," 328,246.95 "
2018,6," 269,742.20 "
2017,8," 704,728.01 "
2018,12," 257,976.55 "
2018,7," 169,446.05 "
2016,7," 238,335.33 "
2018,9," 506,481.21 "
2018,5," 229,614.37 "
2019,2," 439,403.25 "
2018,10," 262,196.14 "
2019,7," 579,165.29 "
2017,7," 519,636.14 "
2017,6," 122,751.96 "
2017,4," 382,782.21 "
2016,12," 2,183,489.81 "
2017,4," 113,244.98 "
2017,5," 613,989.58 "
2019,11," 266,503.91 "
2017,5," 9,719.32 "
2017,10," 1,068,016.76 "
2019,11," 150,945.56 "
2016,9," 656,000.32 "
2018,11," 468,234.81 "
2020,3," 6,073,252.39 "
2019,3," 224,515.67 "
2018,10," 947,214.40 "
2020,4," 193,373.64 "
2020,9," 225,842.12 "
2018,8," 94,986.08 "
2018,9," 2,693,077.45 "
2016,5," 106,253.67 "
2017,7," 496,212.80 "
2019,5," 370,375.05 "
2018,11," 2,088,978.14 "
2019,5," 168,803.06 "
2018,7," 177,510.41 "
2020,1," 116,634.33 "
2020,4," 106,540.74 "
2018,1," 971,173.31 "
2019,12," 348,342.34 "
2019,2," 611,908.66 "
2016,9," 790,033.23 "
2018,1," 102,665.87 "
2019,7," 97,855.80 "
2019,2," 704,377.54 "
2019,4," 1,627,830.75 "
2016,12," 873,135.42 "
2019,2," 293,831.64 "
2018,12," 5,679,608.00 "
2018,10," 177,011.75 "
2016,2," 424,676.61 "
2017,1," 687,188.60 "
2017,9," 314,012.27 "
2019,5," 59,651.68 "
2020,4," 417,510.91 "
2016,8," 572,276.91 "
2017,1," 1,009,363.17 "
2020,3," 1,211,093.76 "
2020,7," 122,178.32 "
2017,8," 1,271,129.80 "
2018,11," 1,995,931.64 "
2019,5," 151,321.09 "
2020,3," 164,429.37 "
2018,11," 56,580.46 "
2019,2," 182,085.90 "
2018,8," 545,718.98 "
2019,3," 223,268.75 "
2019,9," 329,555.08 "
2019,12," 1,302,738.66 "
2019,3," 293,139.50 "
2018,10," 409,570.43 "
2020,2," 349,254.27 "
2019,3," 602,949.04 "
2020,4," 433,936.34 "
2019,8," 186,119.62 "
2017,1," 438,978.15 "
2016,1," 250,886.73 "
2018,11," 1,559,850.11 "
2017,9," 145,068.72 "
2017,12," 1,833,262.88 "
2020,9," 140,644.80 "
2019,1," 153,658.60 "
2017,2," 1,296,649.25 "
2019,10," 776,564.52 "
2018,8," 167,231.47 "
2018,11," 58,882.07 "
2018,10," 711,399.25 "
2018,5," 322,451.08 "
2017,12," 153,089.74 "
2020,4," 225,101.42 "
2019,1," 765,272.88 "
2017,2," 612,055.46 "
2019,10," 81,825.34 "
2017,11," 1,015,551.45 "
2019,1," 726,045.98 "
2019,12," 92,109.00 "
2017,4," 505,865.97 "
2018,7," 73,958.48 "
2017,4," 710,317.55 "
2017,11," 490,081.39 "
2018,4," 351,924.49 "
2018,9," 208,447.49 "
2019,3," 327,850.45 "
2019,2," 93,500.24 "
2019,12," 367,419.68 "
2018,9," 289,033.92 "
2019,2," 109,965.37 "
2018,1," 500,599.49 "
2019,1," 133,892.52 "
2019,1," 244,837.28 "
2019,4," 203,395.90 "
2017,6," 981,465.25 "
2018,2," 859,884.27 "
2019,1," 125,658.54 "
2019,6," 372,792.46 "
2020,5," 64,785.65 "
2019,9," 425,057.40 "
2019,2," 196,728.59 "
2018,8," 4,652.24 "
2018,7," 182,679.01 "
2020,1," 158,534.62 "
2018,8," 4,442.61 "
2018,7," 32,122.35 "
2017,12," 1,747,427.40 "
2016,7," 782,456.94 "
2020,8," 123,866.89 "
2020,1," 198,049.34 "
2019,2," 37,897.98 "
2019,6," 231,734.53 "
2016,11," 501,679.85 "
2016,1," 223,061.00 "
2018,9," 2,848,905.64 "
2018,11," 55,999.83 "
2019,6," 824,337.28 "
2018,7," 693,254.94 "
2017,9," 878,719.08 "
2019,2," 1,093,325.08 "
2019,2," 97,224.17 "
2018,10," 195,958.13 "
2020,2," 169,867.34 "
2018,10," 1,155,779.53 "
2016,8," 298,713.13 "
2018,10," 1,115,371.42 "
2018,8," 168,128.08 "
2019,4," 217,486.14 "
2017,5," 8,937.48 "
2017,11," 12,662.26 "
2019,10," 75,640.09 "
2018,6," 133,027.57 "
2020,1," 167,793.97 "
2017,11," 201,273.69 "
2019,11," 149,244.03 "
2019,5," 547,943.07 "
2019,6," 118,286.98 "
2019,2," 164,290.95 "
2019,11," 330,593.78 "
2018,4," 345,982.28 "
2018,10," 79,520.28 "
2018,10," 38,476.08 "
2019,1," 144,523.67 "
2017,4," 655,890.20 "
2019,4," 102,863.12 "
2018,9," 222,575.11 "
2020,9," 227,443.62 "
2016,12," 495,747.52 "
2018,12," 273,656.28 "
2017,9," 1,001,671.63 "
2018,9," 1,262,075.63 "
2018,10," 46,312.25 "
2017,11," 592,279.29 "
2020,6," 789,374.41 "
2020,4," 94,800.66 "
2019,6," 332,471.47 "
2020,1," 119,941.19 "
2018,10," 725,532.64 "
2019,9," 78,041.54 "
2017,5," 113,193.39 "
2016,12," 350,634.34 "
2019,2," 156,276.49 "
2018,11," 58,586.56 "
2018,11," 1,168,035.89 "
2016,7," 1,596,307.88 "
2016,9," 662,322.97 "
2019,10," 192,383.63 "
2018,10," 586,834.70 "
2019,2," 626,482.46 "
2016,7," 674,769.24 "
2018,12," 249,972.42 "
2019,8," 142,344.25 "
2017,5," 996,754.46 "
2020,4," 75,525.34 "
2018,8," 160,867.47 "
2018,4," 85,657.76 "
2018,11," 82,167.87 "
2018,10," 1,146,608.80 "
2020,7," 123,864.76 "
2019,7," 553,969.86 "
2018,10," 12,416.59 "
2019,2," 162,294.27 "
2016,1," 131,282.53 "
2019,1," 16,076.88 "
2016,7," 543,087.81 "
2018,4," 710,818.23 "
2018,11," 1,654,330.93 "
2019,11," 332,469.90 "
2016,2," 445,413.57 "
2018,7," 323,734.73 "
2020,9," 596,499.38 "
2020,4," 87,262.44 "
2018,10," 422,316.23 "
2018,7," 618,518.03 "
2019,12," 393,399.90 "
2020,2," 2,579,262.07 "
2019,6," 663,030.60 "
2018,7," 140,516.20 "
2019,11," 420,974.87 "
2019,1," 156,462.66 "
2017,1," 359,540.67 "
2016,4," 145,356.76 "
2018,4," 171,066.35 "
2018,10," 199,416.80 "
2018,12," 795,944.07 "
2019,6," 243,922.79 "
2016,1," 222,364.39 "
2017,10," 241,523.69 "
2019,1," 14,305.30 "
2019,5," 145,286.29 "
2019,2," 86,671.39 "
2016,4," 83,162.37 "
2018,6," 109,774.38 "
2018,10," 1,671,448.58 "
2018,11," 1,603,914.87 "
2019,8," 605,558.93 "
2018,2," 792,472.04 "
2016,6," 198,917.31 "
2017,1," 401,578.56 "
2016,9," 95,053.91 "
2017,5," 118,369.54 "
2017,1," 922,915.88 "
2016,7," 245,313.63 "
2020,5," 385,488.25 "
2019,6," 108,594.01 "
2020,7," 157,146.34 "
2019,6," 215,126.21 "
2019,4," 401,676.11 "
2019,11," 571,220.00 "
2018,8," 512,093.58 "
2016,8," 49,466.65 "
2019,5," 1,655,330.39 "
2018,12," 361,213.99 "
2017,6," 450,073.00 "
2018,10," 847,255.49 "
2018,12," 402,172.74 "
2018,9," 110,640.73 "
2019,1," 70,761.66 "
2018,6," 911,353.89 "
2019,11," 291,860.42 "
2017,5," 1,035,765.50 "
2018,4," 128,723.25 "
2018,2," 287,018.09 "
2019,1," 580,325.38 "
2016,12," 481,312.61 "
2020,9," 353,348.79 "
2017,10," 1,042,650.17 "
2019,8," 136,055.53 "
2020,7," 157,033.80 "
2016,12," 828,412.57 "
2019,12," 154,662.67 "
2017,11," 465,568.78 "
2016,11," 534,242.22 "
2019,3," 557,942.40 "
2019,2," 61,119.90 "
2019,6," 347,051.33 "
2019,4," 576,408.56 "
2020,9," 127,771.81 "
2018,11," 780,296.29 "
2019,8," 80,313.20 "
2020,3," 154,496.95 "
2016,11," 696,177.34 "
2016,7," 882,197.54 "
2019,1," 673,065.14 "
2016,7," 449,386.74 "
2020,7," 389,279.18 "
2018,12," 154,503.42 "
2018,4," 528,339.32 "
2018,8," 211,351.49 "
2018,3," 999,085.20 "
2017,2," 545,153.69 "
2017,11," 2,066,371.33 "
2017,12," 1,601,524.67 "
2017,2," 578,750.72 "
2019,6," 109,125.44 "
2016,7," 254,820.49 "
2018,7," 125,856.51 "
2019,8," 278,035.32 "
2020,9," 1,305,755.10 "
2017,4," 478,687.50 "
2018,12," 204,577.65 "
2018,9," 3,329,084.30 "
2019,10," 2,032,959.45 "
2018,5," 296,551.46 "
2018,4," 310,423.03 "
2018,12," 235,122.47 "
2020,5," 1,906,282.95 "
2016,5," 258,836.88 "
2017,2," 503,876.59 "
2016,5," 247,604.18 "
2019,11," 3,559,862.10 "
2017,1," 175,808.63 "
2017,3," 402,435.32 "
2018,12," 572,937.24 "
2017,12," 656,398.55 "
2018,7," 75,560.99 "
2020,8," 51,779.72 "
2016,9," 2,963.92 "
2019,6," 228,727.96 "
2019,2," 59,253.04 "
2016,12," 472,893.15 "
2018,9," 1,124,055.96 "
2018,11," 653,416.89 "
2019,1," 900,187.37 "
2018,9," 493,133.64 "
2017,6," 1,002,426.02 "
2019,3," 365,314.88 "
2018,11," 72,023.38 "
2018,11," 43,068.06 "
2019,12," 82,851.17 "
2017,11," 161,529.75 "
2018,3," 248,270.03 "
2016,1," 235,331.26 "
2017,4," 653,095.51 "
2018,10," 1,635,458.12 "
2017,4," 725,779.45 "
2017,5," 390,836.96 "
2016,8," 1,934,291.71 "
2019,2," 210,641.90 "
2020,5," 68,695.09 "
2018,7," 454,687.46 "
2018,11," 1,588,678.58 "
2018,9," 318,059.61 "
2020,9," 1,179,962.12 "
2020,7," 158,015.33 "
2019,1," 196,093.32 "
2020,6," 352,096.45 "
2017,8," 365,377.98 "
2019,5," 360,349.59 "
2018,1," 461,131.34 "
2019,11," 187,572.10 "
2020,2," 580,643.91 "
2017,6," 106,955.61 "
2018,9," 641,356.88 "
2018,8," 222,965.75 "
2020,7," 266,581.68 "
2020,9," 1,304,760.58 "
2019,1," 915,645.73 "
2018,8," 208,869.87 "
2018,3," 63,182.41 "
2016,7," 287,330.44 "
2018,5," 1,352,392.39 "
2019,8," 171,008.67 "
2016,3," 271,431.55 "
2018,10," 159,002.74 "
2019,9," 1,626,025.37 "
2019,2," 94,081.01 "
2018,6," 894,837.86 "
2020,3," 989,513.78 "
2017,5," 118,978.31 "
2019,6," 38,540.47 "
2016,10," 292,483.55 "
2017,4," 731,417.52 "
2017,8," 144,897.48 "
2018,10," 93,194.13 "
2018,10," 679,963.04 "
2019,12," 342,097.13 "
2018,3," 204,515.51 "
2016,4," 136,680.86 "
2020,9," 1,321,422.90 "
2016,6," 1,203,604.50 "
2019,4," 1,531,532.87 "
2019,1," 380,281.39 "
2019,6," 639,766.08 "
2018,7," 176,078.15 "
2016,7," 607,867.77 "
2018,12," 368,678.64 "
2017,5," 9,259.87 "
2019,10," 191,844.79 "
2020,9," 343,708.57 "
2020,4," 69,999.08 "
2019,4," 206,757.25 "
2020,4," 96,180.50 "
2018,1," 452,848.55 "
2019,11," 341,889.61 "
2019,11," 328,236.89 "
2017,5," 541,759.86 "
2019,8," 189,058.16 "
2016,6," 204,863.27 "
2018,2," 654,691.85 "
2019,9," 325,633.93 "
2020,9," 543,014.97 "
2019,10," 44,836.98 "
2017,2," 928,571.69 "
2017,6," 444,629.64 "
2018,5," 213,433.85 "
2018,10," 42,405.24 "
2018,11," 98,316.90 "
2018,12," 2,924,486.27 "
2018,12," 248,384.72 "
2016,1," 137,352.39 "
2019,4," 130,272.56 "
2019,1," 28,090.95 "
2019,10," 218,393.85 "
2018,9," 516,562.79 "
2020,2," 106,770.15 "
2019,11," 3,158,116.53 "
2017,11," 1,984,272.87 "
2018,2," 326,261.44 "
2020,6," 210,250.27 "
2016,9," 2,981.48 "
2019,2," 87,353.38 "
2017,12," 109,033.03 "
2019,2," 364,139.89 "
2019,2," 288,585.00 "
2019,4," 115,658.56 "
2018,10," 436,362.82 "
2016,12," 332,100.97 "
2020,1," 84,164.48 "
2016,1," 238,560.80 "
2020,1," 664,704.08 "
2018,11," 46,026.16 "
2019,4," 1,453,932.02 "
2017,8," 781,132.81 "
2019,2," 616,179.29 "
2019,12," 255,678.94 "
2020,7," 421,699.85 "
2020,4," 415,302.61 "
2018,12," 96,103.37 "
2018,10," 301,373.39 "
2019,7," 87,392.56 "
2019,8," 518,273.97 "
2017,1," 440,606.97 "
2016,6," 1,414,874.97 "
2020,9," 226,911.36 "
2020,7," 599,550.36 "
2018,10," 92,076.90 "
2016,5," 252,330.48 "
2019,3," 582,094.30 "
2018,10," 232,228.49 "
2019,5," 269,135.32 "
2018,9," 1,083,177.38 "
2018,12," 283,304.81 "
2018,3," 628,807.62 "
2020,8," 196,078.25 "
2016,7," 466,723.14 "
2018,12," 240,077.20 "
2019,2," 1,036,255.31 "
2019,8," 170,796.83 "
2018,7," 783,595.16 "
2018,8," 4,636.62 "
2017,8," 721,606.92 "
2019,8," 975,346.80 "
2019,1," 195,287.10 "
2020,3," 6,541,156.18 "
2018,11," 2,335,290.57 "
2019,5," 139,249.89 "
2019,9," 916,237.87 "
2018,9," 445,599.76 "
2016,4," 88,256.12 "
2017,4," 708,312.98 "
2019,10," 421,435.44 "
2019,3," 113,451.70 "
2019,7," 620,803.89 "
2018,7," 166,725.62 "
2019,8," 937,690.96 "
2018,7," 183,180.87 "
2020,2," 416,699.85 "
2018,5," 134,492.78 "
2019,12," 267,845.87 "
2019,8," 84,922.01 "
2018,7," 328,962.31 "
2019,9," 196,564.05 "
2018,4," 334,793.23 "
2019,2," 47,542.31 "
2019,4," 173,336.53 "
2020,8," 290,657.52 "
2019,11," 220,377.87 "
2016,6," 1,130,983.81 "
2020,9," 351,129.57 "
2018,8," 54,840.85 "
2019,6," 891,260.76 "
2019,2," 575,109.40 "
2020,7," 586,319.20 "
2016,6," 1,309,533.60 "
2016,5," 114,944.49 "
2017,5," 516,978.03 "
2020,4," 295,707.34 "
2019,4," 1,541,827.26 "
2020,6," 769,175.64 "
2017,1," 233,879.32 "
2019,8," 131,413.20 "
2018,1," 1,235,812.89 "
2016,10," 413,737.72 "
2019,2," 89,707.35 "
2017,11," 823,295.61 "
2020,8," 53,825.41 "
2019,4," 89,611.39 "
2019,2," 89,923.08 "
2018,4," 638,427.49 "
2018,2," 715,244.50 "
2019,2," 592,538.48 "
2020,7," 105,752.40 "
2020,1," 266,412.74 "
2017,5," 619,393.88 "
2017,1," 382,433.19 "
2018,10," 139,981.60 "
2018,10," 193,906.72 "
2019,2," 320,523.08 "
2018,12," 221,588.04 "
2019,11," 299,642.97 "
2017,1," 463,184.04 "
2018,3," 61,199.73 "
2017,12," 1,714,034.78 "
2019,10," 242,775.28 "
2020,5," 90,857.71 "
2016,9," 99,572.09 "
2019,8," 139,047.07 "
2020,7," 124,252.09 "
2020,2," 176,085.14 "
2019,11," 206,473.29 "
2019,4," 178,138.64 "
2016,9," 759,045.99 "
2016,7," 904,157.25 "
2017,12," 1,647,866.67 "
2016,7," 1,519,836.00 "
2020,5," 405,237.28 "
2018,6," 843,092.32 "
2016,11," 1,154,373.37 "
2018,6," 125,023.15 "
2018,3," 1,041,355.86 "
2019,2," 41,590.44 "
2019,12," 151,113.06 "
2017,5," 1,304,606.98 "
2018,6," 857,560.43 "
2019,2," 638,127.75 "
2017,3," 953,731.85 "
2020,5," 3,089,374.80 "
2020,2," 98,823.00 "
2018,7," 665,291.80 "
2018,10," 118,560.05 "
2017,5," 277,908.22 "
2019,4," 160,142.03 "
2017,10," 97,005.43 "
2019,1," 130,669.79 "
2017,11," 640,477.11 "
2017,5," 883,161.32 "
2017,6," 517,877.12 "
2018,4," 178,599.75 "
2019,4," 123,979.46 "
2019,3," 10,477.30 "
2018,6," 254,950.35 "
2018,4," 348,263.96 "
2020,6," 180,625.90 "
2018,2," 341,217.76 "
2018,12," 420,261.97 "
2017,2," 437,577.52 "
2016,12," 2,105,992.83 "
2018,12," 895,439.08 "
2018,11," 440,725.08 "
2019,2," 215,610.37 "
2016,12," 557,743.82 "
2018,10," 253,134.41 "
2019,1," 187,869.40 "
2017,8," 350,986.28 "
2018,3," 567,662.61 "
2018,1," 1,098,163.89 "
2018,6," 596,108.29 "
2019,3," 442,594.84 "
2017,12," 30,671.48 "
2018,12," 231,906.66 "
2018,10," 193,188.74 "
2019,2," 40,457.20 "
2016,8," 593,960.68 "
2019,8," 181,108.92 "
2017,11," 179,911.43 "
2020,4," 102,299.30 "
2018,8," 1,695,061.61 "
2018,4," 158,328.73 "
2017,10," 1,165,460.14 "
2020,2," 380,879.94 "
2016,8," 1,834,085.62 "
2019,9," 897,840.88 "
2016,6," 36,046.29 "
2018,10," 44,059.10 "
2018,12," 622,712.21 "
2019,9," 397,175.54 "
2019,12," 1,340,388.40 "
2018,10," 77,051.05 "
2018,11," 326,018.16 "
2018,10," 245,177.84 "
2019,1," 268,896.91 "
2017,12," 428,651.78 "
2017,8," 533,118.70 "
2019,7," 630,810.80 "
2017,2," 881,436.96 "
2016,10," 373,404.59 "
2017,10," 103,127.32 "
2020,4," 309,886.36 "
2019,6," 208,605.64 "
2018,2," 77,820.03 "
2019,2," 84,453.35 "
2016,12," 2,866,625.01 "
2018,6," 788,385.47 "
2018,8," 1,372,203.26 "
2017,5," 1,236,502.56 "
2018,8," 811,898.35 "
2017,4," 100,978.55 "
2018,11," 271,842.87 "
2017,2," 487,321.07 "
2018,12," 268,947.87 "
2017,4," 342,992.84 "
2016,7," 838,752.14 "
2017,12," 143,845.43 "
2019,6," 39,555.64 "
2018,1," 1,145,477.37 "
2018,12," 142,285.42 "
2016,7," 838,894.90 "
2018,9," 1,203,173.87 "
2018,12," 365,028.38 "
2018,9," 102,779.59 "
2019,6," 40,503.20 "
2018,1," 815,593.71 "
2018,10," 119,209.26 "
2019,9," 82,138.40 "
2016,9," 727,315.02 "
2017,9," 122,666.50 "
2017,6," 881,630.21 "
2020,7," 122,620.15 "
2017,9," 560,246.79 "
2018,1," 912,261.61 "
2018,8," 1,503,774.22 "
2018,10," 236,184.66 "
2019,1," 392,961.84 "
2020,6," 319,862.18 "
2019,10," 643,638.22 "
2018,12," 352,233.44 "
2020,4," 215,923.69 "
2019,1," 30,193.48 "
2020,2," 583,727.27 "
2016,6," 1,326,666.52 "
2016,7," 1,320,833.53 "
2018,11," 449,569.78 "
2017,2," 828,973.27 "
2018,3," 1,000,368.63 "
2019,10," 2,122,472.89 "
2018,7," 622,800.64 "
2019,1," 193,362.18 "
2018,2," 86,573.94 "
2018,5," 1,262,894.56 "
2018,9," 219,621.78 "
2016,12," 1,000,482.72 "
2016,12," 346,718.78 "
2018,9," 216,618.20 "
2018,8," 360,040.88 "
2019,4," 206,680.49 "
2020,6," 824,162.11 "
2017,5," 352,158.44 "
2018,2," 90,691.03 "
2018,1," 213,755.34 "
2017,5," 313,859.77 "
2018,10," 1,186,747.99 "
2020,9," 128,048.94 "
2018,10," 536,004.28 "
2019,3," 120,224.61 "
2020,2," 614,656.60 "
2016,6," 217,854.97 "
2020,2," 95,264.75 "
2019,10," 262,876.96 "
2018,1," 753,095.32 "
2018,11," 1,092,700.96 "
2018,11," 338,192.28 "
2016,5," 105,608.96 "
2016,11," 88,788.64 "
2018,12," 358,179.22 "
2016,6," 1,137,599.25 "
2017,4," 630,751.73 "
2016,5," 173,798.22 "
2019,3," 71,285.64 "
2019,4," 181,882.43 "
2019,6," 37,687.50 "
2017,5," 255,489.98 "
2018,10," 764,901.93 "
