Año,Mes, Siniestro ocurrido 
2019,4," 97,554.63 "
2016,1," 673,165.49 "
2016,12," 933,043.16 "
2020,8," 192,533.59 "
2018,12," 381,556.26 "
2020,2," 195,077.49 "
2019,3," 333,673.38 "
2017,5," 311,373.73 "
2017,2," 80,375.91 "
2017,7," 3,107,290.75 "
2019,10," 541,839.72 "
2019,6," 225,998.73 "
2017,12," 1,830,889.51 "
2019,11," 354,299.52 "
2018,9," 107,114.04 "
2020,7," 258,992.44 "
2018,12," 3,238,785.65 "
2019,8," 80,900.93 "
2017,11," 100,065.24 "
2017,11," 11,710.90 "
2019,7," 656,565.57 "
2018,11," 1,534,039.68 "
2016,1," 750,061.50 "
2018,10," 79,410.91 "
2020,1," 428,191.20 "
2020,6," 167,237.07 "
2019,11," 188,615.40 "
2017,5," 209,103.54 "
2019,2," 176,787.00 "
2018,12," 698,688.73 "
2019,9," 67,881.63 "
2019,10," 39,401.40 "
2018,7," 691,298.73 "
2018,4," 377,437.88 "
2020,1," 123,317.69 "
2016,7," 1,008,252.09 "
2018,12," 311,052.77 "
2019,9," 984,178.77 "
2018,9," 1,195,665.11 "
2018,7," 178,898.37 "
2019,1," 863,808.68 "
2018,7," 77,902.45 "
2019,2," 671,260.67 "
2017,4," 91,264.14 "
2019,5," 1,655,477.95 "
2019,2," 272,996.88 "
2019,11," 355,220.69 "
2018,4," 634,791.51 "
2019,2," 335,056.83 "
2020,9," 118,728.17 "
2017,4," 467,782.69 "
2017,10," 215,787.91 "
2016,11," 65,811.92 "
2018,4," 3,079,475.05 "
2016,9," 633,271.90 "
2018,6," 935,480.05 "
2018,11," 387,842.90 "
2018,12," 264,668.63 "
2018,4," 379,564.22 "
2018,10," 770,871.05 "
2017,4," 631,287.71 "
2018,9," 198,134.83 "
2019,2," 100,393.18 "
2019,9," 105,665.51 "
2016,7," 665,762.06 "
2020,6," 190,850.21 "
2019,7," 89,570.59 "
2017,9," 957,312.31 "
2019,7," 97,062.76 "
2019,11," 182,986.28 "
2018,7," 150,266.68 "
